Deathrate/Population(Crude Deathrate),Population,Total_deaths_June 20,Population_density,Area (sq. mi.),Net migration,GDP_per_capita,GNP per Capita,Literacy (%),Total_tests_June20,Total_cases-June20,Climate,Birthrate,Industry,Agriculture,CVD_death_rate,median_age,aged_65_older,aged_70_older,extreme_poverty,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Political_stability,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Freedom of Religion (New),Independence of Judiciary,Inflation,Migration,Control of Corruption: Percentile Rank,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Percentile Rank,Rule of Law: Percentile Rank,Voice and Accountability: Percentile Rank
1.527590074,2225728,34,7.859,267667,0,16562.413,6610,63.2,2756,4428,2,36.16,0.592,0.061,259.967,23.1,4.45,2.976,3.4,7.2,0,0,0,6.3,29.52381,6,2,2,1,1,2,1,1.303092932,5000,19.71154,18.75,37.61905,16.82692,24.51923,22.16749
0.041379356,2416664,1,207.566,11300,1.57,1561.767,0,40.1,724,36,2,39.37,0.142,0.308,331.43,17.5,2.339,1.417,10.1,1.91,0.7,31.2,7.876,1.1,0,3,2,1,0,0,2,0,0,0,38.94231,27.40385,44.76191,28.36539,36.05769,38.42365
0.350949758,3989175,14,65.032,69700,-4.7,9745.079,3790,99,20579,896,3,10.41,0.275,0.172,496.218,38.7,14.864,10.244,4.2,7.11,5.3,55.5,0,2.6,19.52381,4,2,1,1,0,0,1,6.485833026,-50000,76.44231,74.03846,30,83.17308,63.94231,56.15763
10.60226992,83783945,8883,237.016,357021,2.18,45229.245,43490,99,2755770,189135,3,8.25,0.296,0.009,156.139,46.6,21.453,15.957,0,8.31,28.2,33.1,0,8,55.23809,7,2,2,1,2,2,2,1.537468922,1850000,95.19231,93.26923,66.66666,94.71154,91.34615,95.07389
0.225276362,31072945,70,126.719,239460,-0.64,4227.63,1490,74.8,129461,13203,2,30.52,0.246,0.366,298.245,21.1,3.385,1.948,12,4.97,0.3,7.7,41.047,0.9,35.71429,4,2,1,1,0,2,1,13.39470133,-100000,52.88462,46.15385,47.14286,50,56.73077,67.98029
1.813287773,10423056,189,83.479,131940,2.35,24574.382,18090,97.5,87052,3237,3,9.68,0.213,0.054,175.695,45.3,20.396,14.524,1.5,4.55,35.3,52,0,4.21,29.52381,6,2,2,2,0,0,1,0.669504795,49996,55.76923,65.86539,50,64.42308,59.13462,75.36946
0,56772,0,0.137,2166086,-8.37,20000,0,0,1362,13,1,15.93,0,0,199.941,0,0,0,0,2.16,0,0,0,0,95.71429,0,0,0,0,0,0,0,0,0,84.13461,76.92308,100,89.90385,94.23077,91.62562
0,112519,0,317.132,344,-13.92,13593.877,9650,98,1406,23,2,22.08,0.18,0.054,243.964,29.4,7.304,5.021,0,10.71,0,0,0,3.7,67.14286,6,2,1,2,1,2,2,2.120219344,-3497,66.82692,43.75,85.2381,40.38462,62.5,65.51724
2.962383652,168783,5,304.128,541,0,21000,0,99,7200,200,2,18.79,0,0,310.496,31.4,9.551,5.493,0,21.52,0,0,0,0,55.23809,0,0,0,0,0,0,0,0,-2532,86.53846,63.46154,67.14286,58.17308,87.98077,0
2.695979424,17915567,483,157.834,108890,-1.67,7423.808,4060,70.6,0,12509,2,29.88,0.188,0.227,155.898,22.9,4.694,3.016,8.7,10.18,0,0,76.665,0.6,16.19048,5,2,1,2,0,2,0,3.619188154,-46073,22.11539,23.55769,27.14286,45.67308,13.46154,35.46798
19.38793772,67052,13,0,78,3.84,20000,0,0,1500,252,3,8.81,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.205592231,13132792,27,51.755,245857,-3.06,1998.926,800,35.9,714,4904,2,41.76,0.362,0.237,336.717,19,3.135,1.733,35.3,2.42,0,0,17.45,0.3,14.28571,4,2,1,1,0,1,0,16.72593466,-50000,13.94231,16.34615,16.66667,21.63461,9.134615,26.10837
0.762195897,1967998,15,66.191,36120,-1.57,1548.675,660,42.4,1037,1512,2,37.22,0.12,0.62,382.474,19.4,3.002,1.565,67.1,2.42,0,0,6.403,0,13.80952,6,2,1,2,1,2,0,5.946002134,-9995,3.365385,7.211538,21.90476,9.615385,8.653846,29.06404
1.525632534,786559,12,3.952,214970,-2.07,7435.047,4460,98.8,5653,183,2,18.28,0.203,0.37,373.159,26.3,5.305,2.837,0,11.62,0,0,77.159,1.6,31.42857,6,2,1,2,1,2,1,1.916721497,-24552,46.63462,41.82692,40.95238,32.21154,41.82692,56.65025
0.762988364,11402533,87,398.448,27750,-3.4,1653.173,760,52.9,154989,4980,2,36.44,0.2,0.28,430.548,24.3,4.8,2.954,23.5,6.65,2.9,23.1,22.863,0.7,13.33333,4,1,1,2,0,1,0,13.36181049,-175000,9.615385,1.442308,23.33333,8.653846,15.86539,26.60098
3.523612444,9904608,349,82.805,112090,-1.99,4541.795,2250,76.2,86743,11258,2,28.24,0.312,0.139,240.208,24.9,4.652,2.883,16,7.21,2,0,84.169,0.7,16.19048,3,1,1,1,0,2,0,4.211120495,-14001,29.32692,27.88461,26.66667,34.61538,16.34615,31.52709
